,,2023-04-27
GILD,close,83.55000305175781
GIS,open,87.76000213623047
GIS,close,88.79000091552734
GL,open,105.38999938964844
GL,close,107.30000305175781
GLW,open,32.119998931884766
GLW,close,32.75
GM,open,32.36000061035156
GM,close,32.720001220703125
GNRC,open,94.79000091552734
GNRC,close,99.5999984741211
GOOG,open,105.2300033569336
GOOG,close,108.37000274658203
GOOGL,open,104.44999694824219
GOOGL,close,107.58999633789062
GPC,open,163.52000427246094
GPC,close,167.61000061035156
GPN,open,106.22000122070312
GPN,close,109.6500015258789
GRMN,open,95.76000213623047
GRMN,close,96.94000244140625
GS,open,340.1400146484375
GS,close,341.6000061035156
GWW,open,679.7100219726562
GWW,close,696.3599853515625
HAL,open,31.200000762939453
HAL,close,32.0
HAS,open,55.0
HAS,close,58.93000030517578
HBAN,open,10.920000076293945
HBAN,close,11.149999618530273
HCA,open,278.82000732421875
HCA,close,282.44000244140625
HD,open,288.0
HD,close,293.92999267578125
HES,open,142.80999755859375
HES,close,141.47999572753906
HIG,open,68.76000213623047
HIG,close,69.91000366210938
HII,open,199.77999877929688
HII,close,201.3800048828125
HLT,open,142.2100067138672
HLT,close,141.74000549316406
HOLX,open,83.5
HOLX,close,84.6500015258789
HON,open,195.94000244140625
HON,close,198.61000061035156
HPE,open,14.100000381469727
HPE,close,14.260000228881836
HPQ,open,29.010000228881836
HPQ,close,29.719999313354492
HRL,open,39.81999969482422
HRL,close,40.40999984741211
HSIC,open,81.20999908447266
HSIC,close,81.19000244140625
HST,open,15.890000343322754
HST,close,15.90999984741211
HSY,open,264.2699890136719
HSY,close,273.3299865722656
HUM,open,506.7300109863281
HUM,close,525.280029296875
HWM,open,42.68000030517578
HWM,close,43.72999954223633
IBM,open,126.37000274658203
IBM,close,126.97000122070312
ICE,open,105.31999969482422
ICE,close,107.41999816894531
IDXX,open,482.7799987792969
IDXX,close,484.6199951171875
IEX,open,205.0
IEX,close,207.8300018310547
IFF,open,95.05999755859375
IFF,close,95.19999694824219
ILMN,open,211.9199981689453
ILMN,close,204.38999938964844
INCY,open,73.69000244140625
INCY,close,73.6500015258789
INTC,open,28.75
INTC,close,29.860000610351562
INTU,open,416.8599853515625
INTU,close,429.1600036621094
INVH,open,32.18000030517578
INVH,close,32.869998931884766
IP,open,33.459999084472656
IP,close,33.0099983215332
IPG,open,35.54999923706055
IPG,close,35.209999084472656
IQV,open,189.5
IQV,close,183.66000366210938
IR,open,54.54999923706055
IR,close,57.0
IRM,open,54.099998474121094
IRM,close,54.97999954223633
ISRG,open,295.4100036621094
ISRG,close,295.9200134277344
IT,open,295.05999755859375
IT,close,302.42999267578125
ITW,open,233.42999267578125
ITW,close,240.55999755859375
IVZ,open,17.149999618530273
IVZ,close,17.229999542236328
J,open,112.81999969482422
J,close,115.51000213623047
JBHT,open,166.7899932861328
JBHT,close,170.07000732421875
JCI,open,57.790000915527344
JCI,close,59.369998931884766
JKHY,open,155.91000366210938
JKHY,close,159.6699981689453
JNJ,open,162.89999389648438
JNJ,close,163.0
JNPR,open,30.1200008392334
JNPR,close,29.579999923706055
JPM,open,136.0
JPM,close,137.0500030517578
K,open,68.36000061035156
K,close,69.29000091552734
KDP,open,34.630001068115234
KDP,close,33.540000915527344
KEY,open,10.550000190734863
KEY,close,10.949999809265137
KEYS,open,141.4499969482422
KEYS,close,141.88999938964844
KHC,open,39.15999984741211
KHC,close,39.68000030517578
KIM,open,18.75
KIM,close,18.989999771118164
KLAC,open,383.75
KLAC,close,384.6400146484375
KMB,open,143.92999267578125
KMB,close,146.3800048828125
KMI,open,17.219999313354492
KMI,close,17.31999969482422
KMX,open,68.05999755859375
KMX,close,70.4000015258789
KO,open,63.529998779296875
KO,close,63.68000030517578
KR,open,47.970001220703125
KR,close,48.34000015258789
L,open,55.75
L,close,56.86000061035156
LDOS,open,89.5
LDOS,close,92.05999755859375
LEN,open,109.79000091552734
LEN,close,111.69999694824219
LH,open,221.36000061035156
LH,close,224.69000244140625
LHX,open,194.25
LHX,close,198.0
LIN,open,365.5899963378906
LIN,close,365.6400146484375
LKQ,open,55.970001220703125
LKQ,close,57.2599983215332
LLY,open,391.260009765625
LLY,close,390.3500061035156
LMT,open,461.8500061035156
LMT,close,465.0
LNC,open,20.670000076293945
LNC,close,20.969999313354492
LNT,open,54.349998474121094
LNT,close,55.099998474121094
LOW,open,200.6300048828125
LOW,close,204.52999877929688
LRCX,open,503.54998779296875
LRCX,close,518.8900146484375
LUV,open,29.5
LUV,close,29.8799991607666
LVS,open,62.209999084472656
LVS,close,62.220001220703125
LW,open,109.88999938964844
LW,close,111.5999984741211
LYB,open,91.0
LYB,close,91.31999969482422
LYV,open,65.68000030517578
LYV,close,67.36000061035156
MA,open,366.5799865722656
MA,close,373.6700134277344
MAA,open,149.33999633789062
MAA,close,151.32000732421875
MAR,open,166.0
MAR,close,165.38999938964844
MAS,open,51.880001068115234
MAS,close,52.88999938964844
MCD,open,290.7200012207031
MCD,close,294.7200012207031
MCHP,open,72.69000244140625
MCHP,close,71.80000305175781
MCK,open,358.6099853515625
MCK,close,363.80999755859375
MCO,open,308.239990234375
MCO,close,311.3999938964844
MDLZ,open,72.38999938964844
MDLZ,close,73.81999969482422
MDT,open,89.91999816894531
MDT,close,91.37999725341797
MET,open,59.0099983215332
MET,close,60.310001373291016
META,open,239.88999938964844
META,close,238.55999755859375
MGM,open,42.70000076293945
MGM,close,43.38999938964844
MHK,open,96.11000061035156
MHK,close,98.77999877929688
MKC,open,84.87000274658203
MKC,close,87.4000015258789
MKTX,open,312.20001220703125
MKTX,close,313.1600036621094
MLM,open,345.5899963378906
MLM,close,358.04998779296875
MMC,open,176.3300018310547
MMC,close,179.4499969482422
MMM,open,103.08000183105469
MMM,close,105.33000183105469
MNST,open,54.27000045776367
MNST,close,55.279998779296875
MO,open,45.95000076293945
MO,close,47.189998626708984
MOH,open,280.3299865722656
MOH,close,296.9200134277344
MOS,open,42.56999969482422
MOS,close,42.08000183105469
MPC,open,122.52999877929688
MPC,close,121.43000030517578
MPWR,open,452.3999938964844
MPWR,close,448.6099853515625
MRK,open,114.5999984741211
MRK,close,115.16000366210938
MRNA,open,130.88999938964844
MRNA,close,130.07000732421875
MRO,open,23.309999465942383
MRO,close,23.479999542236328
MS,open,89.41000366210938
MS,close,90.26000213623047
MSCI,open,466.489990234375
MSCI,close,464.2900085449219
MSFT,open,295.9700012207031
MSFT,close,304.8299865722656
MSI,open,288.8599853515625
MSI,close,293.6499938964844
MTB,open,121.79000091552734
MTB,close,124.08999633789062
MTCH,open,33.54499816894531
MTCH,close,34.9900016784668
MTD,open,1464.2900390625
MTD,close,1456.5799560546875
MU,open,60.75
MU,close,61.900001525878906
NCLH,open,12.649999618530273
NCLH,close,12.829999923706055
